REF_DATE,GEO,DGUID,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,"Toronto (CMA), Ontario",2016S0503535,Males,17 years,Persons,249,units ,0,v1060794403,70.2.23,36677,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,18 years,Persons,249,units ,0,v1060794404,70.2.24,36128,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,19 years,Persons,249,units ,0,v1060794405,70.2.25,37151,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,20 to 24 years,Persons,249,units ,0,v1060794406,70.2.26,191285,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,20 years,Persons,249,units ,0,v1060794407,70.2.27,37259,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,21 years,Persons,249,units ,0,v1060794408,70.2.28,38352,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,22 years,Persons,249,units ,0,v1060794409,70.2.29,38429,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,23 years,Persons,249,units ,0,v1060794410,70.2.30,38746,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,24 years,Persons,249,units ,0,v1060794411,70.2.31,38499,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,25 to 29 years,Persons,249,units ,0,v1060794412,70.2.32,188903,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,25 years,Persons,249,units ,0,v1060794413,70.2.33,38809,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,26 years,Persons,249,units ,0,v1060794414,70.2.34,37813,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,27 years,Persons,249,units ,0,v1060794415,70.2.35,37424,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,28 years,Persons,249,units ,0,v1060794416,70.2.36,37152,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,29 years,Persons,249,units ,0,v1060794417,70.2.37,37705,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,30 to 34 years,Persons,249,units ,0,v1060794418,70.2.38,199578,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,30 years,Persons,249,units ,0,v1060794419,70.2.39,39035,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,31 years,Persons,249,units ,0,v1060794420,70.2.40,39371,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,32 years,Persons,249,units ,0,v1060794421,70.2.41,39500,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,33 years,Persons,249,units ,0,v1060794422,70.2.42,40165,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,34 years,Persons,249,units ,0,v1060794423,70.2.43,41507,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,35 to 39 years,Persons,249,units ,0,v1060794424,70.2.44,218799,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,35 years,Persons,249,units ,0,v1060794425,70.2.45,43402,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,36 years,Persons,249,units ,0,v1060794426,70.2.46,43630,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,37 years,Persons,249,units ,0,v1060794427,70.2.47,43921,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,38 years,Persons,249,units ,0,v1060794428,70.2.48,44061,,,,0
